title,description,updateFrequency,license,keywords,landingPage,Status,temporal,theme,publisher.name,contactPoint.fn,contactPoint.hasEmail,distribution.0.title,distribution.0.description,distribution.0.downloadURL,distribution.0.format,distribution.0.size,distribution.1.title,distribution.1.description,distribution.1.download URL,distribution.1.format,distribution.1.size,distribution.2.title,distribution.2.description,distribution.2.downloadURL,distribution.2.format,distribution.2.size,distribution.3.title,distribution.3.description,distribution.3.downloadURL,distribution.3.format,distribution.3.size,distribution.4.title,distribution.4.description,distribution.4.downloadURL,distribution.4.format,distribution.4.size,distribution.5.title,distribution.5.description,distribution.5.downloadURL,distribution.5.format,distribution.5.size,distribution.6.title,distribution.6.description,distribution.6.downloadURL,distribution.6.format,distribution.6.size,distribution.7.title,distribution.7.description,distribution.7.downloadURL,distribution.7.format,distribution.7.size
Registered customers by entity type,"Includes all customers registered with Inland Revenue, either individuals or entities.",Annual,https://creativecommons.org/licenses/by/4.0/,"Customer , Registration, Individuals, Club/Society, Maori Authority, Company, Partnership, Trust/Estate, Diplomatic mission, Super Fund, Government Department, Unit Trust",https://www.ird.govt.nz/aboutir/external-stats/customers/reg-by-entity-type/,Published,03-2008/03-2017,Customer ,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Registered customers by entity type,,https://www.classic.ird.govt.nz/resources/e/0/e01efc7d-280e-4636-9f54-d60e644dc255/2.1+-+reg-cust-csv.csv,CSV,2kb,Registered customers by entity type,,https://www.classic.ird.govt.nz/resources/d/b/db702210-6d1b-4f3a-b34d-87a98d9db693/2.1-reg-cust-by-entity-type.xlsx,XLXS,16kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Registered customers by geographic areas,"Includes all customers registered with Inland Revenue, either individuals or entities. Geographic area is determined by proximity to district office.",Annual,https://creativecommons.org/licenses/by/4.0/,"Customer , Registration, Individuals, Club/Society, Maori Authority, Company, Partnership, Trust/Estate, Diplomatic mission, Super Fund, Government Department, Unit Trust",https://www.ird.govt.nz/aboutir/external-stats/customers/reg-by-geo-area/,Published,,Customer ,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Registered customers by geographic areas,,https://www.classic.ird.govt.nz/resources/9/e/9e33245c-2f93-46e3-ae8f-6811a3fc5ec3/reg-customers-geo-area-17-csv.csv,CSV,3kb,Registered customers by geographic areas,,https://www.classic.ird.govt.nz/resources/5/0/502bda16-efb5-486b-8214-e4b3224fd90b/reg-customers-geo-area-17-excel.xlsx,XLXS,22kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active customers by entity type ,Shows the number of active customers grouped by entity type.,Annual,https://creativecommons.org/licenses/by/4.0/,"Customer , Registration, Individuals, Club/Society, Maori Authority, Company, Partnership, Trust/Estate, Diplomatic mission, Super Fund, Government Department, Unit Trust",https://www.ird.govt.nz/aboutir/external-stats/customers/act-by-entity-type/,Published,03-2008/03-2017,Customer ,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Active customers by entity type ,,https://www.classic.ird.govt.nz/resources/8/7/876cac83-29b3-4453-93a8-a74f2d5c5382/2.3+-+Active-custs-by-ET.csv,CSV,1kb,Active customers by entity type ,,https://www.classic.ird.govt.nz/resources/f/5/f5b5ace1-6d2b-4917-af74-5b1816ea816c/2.3+-+Active-customers-by-ET.xlsx,XLXS,18kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active customers by geographic areas,Shows the number of active customers by geographic area. Area is defined through proximity to district office. ,Annual,https://creativecommons.org/licenses/by/4.0/,"Customer , Registration, Individuals, Club/Society, Maori Authority, Company, Partnership, Trust/Estate, Diplomatic mission, Super Fund, Government Department, Unit Trust",https://www.ird.govt.nz/aboutir/external-stats/customers/act-by-geo-area/,Published,03-2008/03-2017,Customer ,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Active customers by geographic areas,,https://www.classic.ird.govt.nz/resources/5/9/5956b7f8-a391-4aec-b90c-dc4876b022db/act-customers-geographic-area-08-17.csv,CSV,3kb,Active customers by geographic areas,,https://www.classic.ird.govt.nz/resources/a/c/acf46f88-676d-4416-9ed7-a4d303de0232/active-customers-by-geographic-area-08-17.xlsx,XLXS,20kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Registered customers by group ,"Registered customer groups shown here are, non-profit organisations, large enterprises, individuals and small and medium enterprises.",Annual,https://creativecommons.org/licenses/by/4.0/,"Customer , Registration, Individuals, Club/Society, Maori Authority, Company, Partnership, Trust/Estate, Diplomatic mission, Super Fund, Government Department, Unit Trust",https://www.ird.govt.nz/aboutir/external-stats/customers/reg-by-customer-group/,Published,03-2008/03-2017,Customer ,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Registered customers by group ,,https://www.classic.ird.govt.nz/resources/c/f/cfee5c35-4cb8-4748-9081-8b2d4136b2b5/registered-customer-group.csv,CSV,1kb,Registered customers by group ,,https://www.classic.ird.govt.nz/resources/b/3/b38c49df-e055-4195-a325-317d61fa256f/registered-customer-group.xlsx,XLXS,15kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use of return filing channels ,"Describes the use of the three core channels used for filing tax data (eFiling,  online filing using myIR secure login services or paper based filing) ",Annual,https://creativecommons.org/licenses/by/4.0/,"Income Tax, Goods and Services Tax, Fringe Benefit Tax, PAYE, Filing, Individuals, Company, Trust/Estate",https://www.ird.govt.nz/aboutir/external-stats/tax-returns/filing-channels/,Published,03-2007/03-2016,"Income Tax, Goods and Services Tax, Fringe Benefit Tax, PAYE",Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Use of return filing channels ,,https://www.classic.ird.govt.nz/resources/c/d/cd36494e-9284-4c10-8490-d3b70543b3fa/return-filing-channels.csv,CSV,3kb,Use of return filing channels ,,https://www.classic.ird.govt.nz/resources/5/5/556530ce-f945-4045-b3d2-804991ae6b17/return-filing-channels.xlsx,XLXS,33kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of customers by return types,The data includes customers who filed tax returns for a specific tax year regardless of when their return was actually filed.,Annual,https://creativecommons.org/licenses/by/4.0/,"Income Tax, Goods and Services Tax, Fringe Benefit Tax, PAYE, Filing, Individuals, Company, Trust/Estate",https://www.ird.govt.nz/aboutir/external-stats/tax-returns/customers-by-returns/,Published,03-2007/03-2017,"Income Tax, Goods and Services Tax, Fringe Benefit Tax, PAYE",Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Number of customers by return types,,https://www.classic.ird.govt.nz/resources/4/8/48a18d16-f08f-4225-921a-df4aa23b58c2/number-of-cust+by-return-types.csv,CSV,2kb,Number of customers by return types,,https://www.classic.ird.govt.nz/resources/d/2/d26ce924-465a-4293-a1d5-350323481443/number-of-cust-by-return-types.xlsx,XLXS,24kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns filed ,The number of returns filed and processed during the tax year regardless of their return period.,Annual,https://creativecommons.org/licenses/by/4.0/,"Income Tax, Goods and Services Tax, Fringe Benefit Tax, PAYE, Filing, Individuals, Company, Trust/Estate",https://www.ird.govt.nz/aboutir/external-stats/tax-returns/returns-filed/,Published,03-2007/03-2017,"Income Tax, Goods and Services Tax, Fringe Benefit Tax, PAYE",Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Returns filed ,,https://www.classic.ird.govt.nz/resources/6/e/6e9cd921-2834-4532-b74d-e6278c821e2d/returns_filed-csv.csv,CSV,3kb,Returns filed ,,https://www.classic.ird.govt.nz/resources/d/5/d52bffeb-8638-480f-92e5-08ed453188d7/returns-filed.xlsx,XLXS,16kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of tax agents by geographic area ,The number of tax agents in a given geographic loction. A tax agent is a person who prepares the annual returns of income for ten or more taxpayers.,Annual,https://creativecommons.org/licenses/by/4.0/,"Customer, Registration, Tax Agents",https://www.ird.govt.nz/aboutir/external-stats/tax-agents/agents-by-geo-area/,Published,03-2008/03-2017,Customer,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Number of tax agents by geographic area ,,https://www.classic.ird.govt.nz/resources/2/f/2f540aa6-25cd-4556-8b9f-96eca58d0041/agents-by-location.csv,CSV,1kb,Number of tax agents by geographic area ,,https://www.classic.ird.govt.nz/resources/0/c/0cd160e2-75b7-4589-8365-2869870b1371/agents-by-location.xlsx,XLXS,20kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of clients of tax agents by geographic area ,List of the number of clients of tax agents by geographic area. Area defined by proximity to district office. ,Annual,https://creativecommons.org/licenses/by/4.0/,"Customer, Registration, Tax Agents, Customers",https://www.ird.govt.nz/aboutir/external-stats/tax-agents/clients-by-geo-area/,Published,03-2008/03-2017,Customer,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Number of clients of tax agents by geographic area ,,https://www.classic.ird.govt.nz/resources/1/7/1762384a-90cf-4bb0-9691-7246c99d28fb/clients_by_location.csv,CSV,2kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
