title,description,identifier,licence,keywords,issued,modified,publisher.name,publisher.mbox,contactPoint.fn,contactPoint.hasPhone,contactPoint.hasEmail,landingPage,updateFrequency,theme,temporal,spatial,distribution.0.downloadURL,distribution.0.format,distribution.0.size,distribution.0.title,distribution.1.downloadURL,distribution.1.format,distribution.1.size,distribution.1.title,distribution.2.downloadURL,distribution.2.format,distribution.2.size,distribution.2.title,distribution.3.downloadURL,distribution.3.format,distribution.3.size,distribution.3.title,distribution.4.downloadURL,distribution.4.format,distribution.4.size,distribution.4.title
Active customers by entity type,Shows the number of active customers grouped by entity type.,https://www.ird.govt.nz/aboutir/external-stats/customers/act-by-entity-type/,https://creativecommons.org/licenses/by/4.0/,"clubsociety, company, customer, diplomatic mission, government department, individuals, maori authority, partnership, registration, super fund, trustestate, unit trust",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/customers/act-by-entity-type/,Annual,Customer,03-2008/03-2017,,https://www.classic.ird.govt.nz/resources/8/7/876cac83-29b3-4453-93a8-a74f2d5c5382/2.3+-+Active-custs-by-ET.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/f/5/f5b5ace1-6d2b-4917-af74-5b1816ea816c/2.3+-+Active-customers-by-ET.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,
Active customers by geographic areas,Shows the number of active customers by geographic area. Area is defined through proximity to district office.,https://www.ird.govt.nz/aboutir/external-stats/customers/act-by-geo-area/,https://creativecommons.org/licenses/by/4.0/,"clubsociety, company, customer, diplomatic mission, government department, individuals, maori authority, partnership, registration, super fund, trustestate, unit trust",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/customers/act-by-geo-area/,Annual,Customer,03-2008/,,https://www.classic.ird.govt.nz/resources/5/9/5956b7f8-a391-4aec-b90c-dc4876b022db/act-customers-geographic-area-08-17.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/a/c/acf46f88-676d-4416-9ed7-a4d303de0232/active-customers-by-geographic-area-08-17.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,
All Customers,"A regional break-down for different customer categories, such as ""registered customers"", ""individuals"", and ""individuals aged 16 or over"".",https://www.classic.ird.govt.nz/aboutir/external-stats/regional-stats/regional-tax-statistics.html,https://creativecommons.org/licenses/by/4.0/,"area outside regional councils, auckland, bay of plenty, business, businesses, canterbury, entities, far north, gisborne, gst filers, gstregistered, hawkes bay, individuals, location, manawatuwanganui, marlborough, micro business individuals, nelson, new zealand, nonbusiness individuals, northland, otago, regional council, registered customers, southland, student loan holders, taranaki, tasman, territorial authorities, unknown location, waikato, wellington, west coast",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/external-stats/regional-stats/regional-tax-statistics.html,Annual,"PAYE, Goods & Services Tax, Income Tax, Imputation Taxes, Withholding Tax, Child Support, Working for Families Tax Credits, Student Loans, Fringe Benefit Tax, Customer",04-2015/03-2016,,https://www.classic.ird.govt.nz/resources/0/3/03ad910f-5339-4ec8-8843-80f0bbc385fb/all_customers.csv,CSV,,All customers,,,,,,,,,,,,,,,,
Amount of KiwiSaver funds withdrawn by reasons 2010-2019,Statistics on the dollar amount of fund withdrawals each financial year for both first home and financial  by hardship withdrawals,https://www.kiwisaver.govt.nz/statistics/annual/withdrawals/,https://creativecommons.org/licenses/by/4.0/,"dollar amount, kiwisaver funds withdrawn by reasons",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.kiwisaver.govt.nz/statistics/annual/withdrawals/,Annual,Social Policy,2010/06-06-2019,,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,Dollar amount of KiwiSaver funds withdrawn by reasons,,,,,,,,,,,,,,,,
Binding rulings,The number of draft rulings issued that are counted under the timeliness measures and the average time to complete those draft rulings.,https://www.classic.ird.govt.nz/aboutir/audit-and-legal-issues/binding-rulings/,https://creativecommons.org/licenses/by/4.0/,"assessment, audit, club, company, diplomatic mission, government department, individuals, maori authority, partnership, society, super fund, trustestate, unit trust",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/audit-and-legal-issues/binding-rulings/,Annual,Audit,06-2009/06-2017,,https://www.classic.ird.govt.nz/resources/d/2/d2b8d00c-eb74-40b4-b5e7-9da8ada4ee5a/binding-rulings-csv.csv,CSV,,Binding rulings in CSV format,https://www.classic.ird.govt.nz/resources/5/7/5799b830-b554-44e6-a22c-2db9564bf24e/binding-rulings.xls,XLS,,Binding rulings in Excel format,,,,,,,,,,,,
Customer Satisfaction and Perceptions survey results 2015 to 2016,Survey results for customer satisfaction and perception of Inland Revenue,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-index-2015-2016.html,https://creativecommons.org/licenses/by/4.0/,"corporate data, customer satisfaction",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-index-2015-2016.html,Quarterly,Corporate data,07-2015/06-2016,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-july-15-june-16.html,HTML,,Annual survey results July 2015 - June 2016,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-apr-june-16.html,HTML,,Quarterly survey results for April - June 2016,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-jan-march-16.html,HTML,,Quarterly survey results for January to March 2016,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-oct-dec-15.html,HTML,,Quarterly results for October-December 2015,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-jul-sep-15.html,HTML,,Quarterly results for July to September 2015
Customer Satisfaction and Perceptions survey results 2016 to 2017,Survey results for customer satisfaction and perception of Inland Revenue,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-index-2016-2017.html,https://creativecommons.org/licenses/by/4.0/,"corporate data, customer satisfaction",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-index-2016-2017.html,Quarterly,Corporate Data,07-2016/06-2017,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-july-16-june-17.html,HTML,,Yearly survey results for July 2016 to June 2017,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-april-june-17.html,HTML,,Quarterly survey results for April to June 2017,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-jan-march-17.html,HTML,,Quarterly survey results for January to March 2017,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-oct-dec-16.html,HTML,,Quarterly results for October to December 2016,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-jul-sep-16.html,HTML,,Quarterly results for July to September 2016
Customer Satisfaction and Perceptions survey results 2017 to 2018,Survey results for customer satisfaction and perception of Inland Revenue,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-index-2017-2018.html,https://creativecommons.org/licenses/by/4.0/,"corporate data, customer satisfaction",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-index-2017-2018.html,Quarterly,Corporate Data,07-2017/06-2018,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-ann-jul-17-jun-18.html,HTML,,Yearly survey results July 2017 to June 2018,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-apr-jun-18.html,HTML,,Quarterly results for April to June 2018,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-jan-march-18.html,HTML,,Quarterly survey results for January to March 2018,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-oct-dec-17.html,HTML,,Quarterly results for October to December 2017,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-jul-sep-17.html,HTML,,Quarterly results for July to September 2017
Customer Satisfaction and Perceptions survey results 2018 to 2019,Survey results for customer satisfaction and perception of Inland Revenue,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/customer-satisfaction-index-2018-2019.html,https://creativecommons.org/licenses/by/4.0/,"corporate data, customer satisfaction",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/customer-satisfaction-index-2018-2019.html,Quarterly,Corporate data,07-2018/06-2019,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/customer-satisfaction-results-july-sept-19.html,HTML,,Yearly survey results for July to September 2019,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/customer-satisfaction-results-apri-jun-19.html,HTML,,Quarterly survey results for April to June 2019,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/customer-satisfaction-results-jan-mar-19.html,HTML,,Quarterly results January to March 2019,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/customer-satisfaction-results-oct-dec-18.html,HTML,,Quarterly results for October to December 2018,,,,
Donations tax credit claimed,Statistics relating to donations tax credit claimed 2004 to 2018,https://www.classic.ird.govt.nz/aboutir/external-stats/revenue-refunds/donation-rebates/donations-rebates.html,https://creativecommons.org/licenses/by/4.0/,"average donations, donation tax credit, tax credit",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/external-stats/revenue-refunds/donation-rebates/,Annual,"Tax Credit, Subsidy and Grant",01-2004/12-2018,,https://www.classic.ird.govt.nz/resources/4/d/4d1cba9e-80c2-4662-82d9-6094a407d6a9/ave-donation-claimed-per-claimant-04-18.xlsx,XLS,,Average donations tax credt claimed per claimant - Excel format,https://www.classic.ird.govt.nz/resources/4/9/493a413d-07ad-4496-ac94-bef87e200671/ave-donation-claimed-per-claimant-04-18.csv,CSV,,Average donations tax credt claimed per claimant - CSV format,https://www.classic.ird.govt.nz/resources/1/8/18452815-bb09-4921-a6eb-6366671b8ef7/num-donations-04-18.xlsx,XLSX,,Number of donations tax credit claimed - Excel format,https://www.classic.ird.govt.nz/resources/e/1/e183f1f9-17ed-41b0-86d2-c00dad1b007e/num-donations-04-18.csv,CSV,,Number of donations tax credit claimed - CSV format,,,,
