title,description,identifier,licence,keywords,issued,modified,publisher.name,publisher.mbox,contactPoint.fn,contactPoint.hasPhone,contactPoint.hasEmail,landingPage,updateFrequency,theme,temporal,spatial,distribution.0.downloadURL,distribution.0.format,distribution.0.size,distribution.0.title,distribution.1.downloadURL,distribution.1.format,distribution.1.size,distribution.1.title,distribution.2.downloadURL,distribution.2.format,distribution.2.size,distribution.2.title,distribution.3.downloadURL,distribution.3.format,distribution.3.size,distribution.3.title,distribution.4.downloadURL,distribution.4.format,distribution.4.size,distribution.4.title,distribution.5.downloadURL,distribution.5.format,distribution.5.size,distribution.5.title,distribution.6.downloadURL,distribution.6.format,distribution.6.size,distribution.6.title
Active customers by entity type,Shows the number of active customers grouped by entity type.,https://www.ird.govt.nz/about-us/archived-statistics/inland-revenue-customers/entity-type,https://creativecommons.org/licenses/by/4.0/,"clubsociety, company, customer, diplomatic mission, government department, individuals, maori authority, partnership, registration, super fund, trustestate, unit trust",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/archived-statistics/inland-revenue-customers/entity-type,Annual,Customer,03-2008/03-2017,,https://www.ird.govt.nz/-/media/Files/Statistics/IR-Customers/Active-customer-group-08-17.csv,CSV,,Data in CSV format,https://www.ird.govt.nz/-/media/Files/Statistics/IR-Customers/Active-customers-entity-type-08-17.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,,,,,,,,,
Active customers by geographic areas,Shows the number of active customers by geographic area. Area is defined through proximity to district office.,https://www.ird.govt.nz/about-us/archived-statistics/inland-revenue-customers/geographic-areas,https://creativecommons.org/licenses/by/4.0/,"clubsociety, company, customer, diplomatic mission, government department, individuals, maori authority, partnership, registration, super fund, trustestate, unit trust",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/archived-statistics/inland-revenue-customers/geographic-areas,Annual,Customer,03-2008/03-2017,,https://www.ird.govt.nz/-/media/Files/Statistics/IR-Customers/Active-customers-geographic-area-08-17.csv,CSV,,Data in CSV format,https://www.ird.govt.nz/-/media/Files/Statistics/IR-Customers/Active-customers-by-geographic-area-08-17.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,,,,,,,,,
Amount of KiwiSaver funds withdrawn by reasons 2010-2020,Statistics on the dollar amount of fund withdrawals each financial year for both first home and financial  by hardship withdrawals,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/withdrawals/amount,https://creativecommons.org/licenses/by/4.0/,"dollar amount, kiwisaver funds withdrawn by reasons",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/withdrawals/amount,Annual,Social Policy,06-2010/03-2020,,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/withdrawals/amount,HTML,,Amount of KiwiSaver fund withdrawals by withdrawal reason each month,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/withdrawals/number,HTML,,Number of KiwiSaver fund withdrawals by withdrawal reason each month,,,,,,,,,,,,,,,,,,,,
Binding rulings,The number of draft rulings issued that are counted under the timeliness measures and the average time to complete those draft rulings.,https://www.ird.govt.nz/about-us/archived-statistics/audit-legal-issues-data/binding-rulings,https://creativecommons.org/licenses/by/4.0/,"assessment, audit, club, company, diplomatic mission, government department, individuals, maori authority, partnership, society, super fund, trustestate, unit trust",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/archived-statistics/audit-legal-issues-data/binding-rulings,Annual,Audit,06-2009/06-2017,,https://www.ird.govt.nz/-/media/Files/Statistics/Tax-data---audit-and-legal-issues/binding-rulings-csv.csv,CSV,,Binding rulings in CSV format,https://www.ird.govt.nz/-/media/Files/Statistics/Tax-data---audit-and-legal-issues/binding-rulings.xls,XLS,,Binding rulings in Excel format,,,,,,,,,,,,,,,,,,,,
Customer Satisfaction and Perceptions survey results 2015 to 2016,Survey results for customer satisfaction and perception of Inland Revenue,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2015-2016,https://creativecommons.org/licenses/by/4.0/,"corporate data, customer satisfaction",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2015-2016,Quarterly,Corporate data,07-2015/06-2016,,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2015-2016,HTML,,Annual survey results July 2015 - June 2016,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2015-2016/july-sept,HTML,,Quarterly survey results for July 2016 to Sept 2016,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2015-2016/oct-dec,HTML,,Quarterly survey results for Oct 2016 to Dec 2016,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2015-2016/jan-march,HTML,,Quarterly survey results for Jan 2017 to Mar 2017,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2015-2016/april-june,HTML,,Quarterly results for Apr 2017 to June 2017,,,,,,,,
Customer Satisfaction and Perceptions survey results 2016 to 2017,Survey results for customer satisfaction and perception of Inland Revenue,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2016-2017,https://creativecommons.org/licenses/by/4.0/,"corporate data, customer satisfaction",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2016-2017,Quarterly,Corporate Data,07-2016/06-2017,,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2016-2017,HTML,,Yearly survey results for July 2016 to June 2017,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2016-2017/july-sept,HTML,,Quarterly survey results for Jul 2016 to Sept 2016,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2016-2017/oct-dec,HTML,,Quarterly survey results for Oct 2016 to Dec 2016,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2016-2017/jan-march,HTML,,Quarterly results for Jan 2017 to Mar 2017,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2016-2017/april-june,HTML,,Quarterly results for Apr 2017 to Jun 2017,,,,,,,,
Customer Satisfaction and Perceptions survey results 2017 to 2018,Survey results for customer satisfaction and perception of Inland Revenue,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2017-2018,https://creativecommons.org/licenses/by/4.0/,"corporate data, customer satisfaction",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2017-2018,Annual,Corporate Data,07-2017/06-2018,,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2017-2018,HTML,,Yearly survey results July 2017 to June 2018,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2017-2018/july-sept,HTML,,Quarterly survey results for July 2019 to Sept 2017,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2017-2018/oct-dec,HTML,,Quarterly survey results from Oct 2017 to Dec 2017,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2017-2018/jan-march,HTML,,Quarterly results for Jan 2018 to Mar 2018,https://www.ird.govt.nz/about-us/publications/customer-survey/previous-years/2017-2018/april-june,HTML,,Quarterly results for Apr 2018 to Jun 2018,,,,,,,,
Customer Satisfaction and Perceptions survey results 2018 to 2019,Survey results for customer satisfaction and perception of Inland Revenue,https://www.ird.govt.nz/about-us/publications/customer-survey,https://creativecommons.org/licenses/by/4.0/,"corporate data, customer satisfaction",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/publications/customer-survey,Quarterly,Corporate data,10-2018/06-2019,,https://www.ird.govt.nz/about-us/publications/customer-survey/oct-dec-2018,HTML,,Quarterly survey results Oct 2018 to Dec 2018,https://www.ird.govt.nz/about-us/publications/customer-survey/jan-march-2019,HTML,,Quarterly survey results for Jan 2019 to Mar 2019,https://www.ird.govt.nz/about-us/publications/customer-survey/april-june-2019,HTML,,Quarterly results Apr 2019 to June 2019,,,,,,,,,,,,,,,,
Donations tax credit claimed,Statistics relating to donations tax credit claimed 2004 to 2018,https://www.ird.govt.nz/about-us/tax-statistics/revenue-refunds/dtc,https://creativecommons.org/licenses/by/4.0/,"average donations, donation tax credit, tax credit",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/tax-statistics/revenue-refunds/dtc,Annual,"Tax Credit, Subsidy and Grant, donation",01-2004/12-2018,,https://www.ird.govt.nz/-/media/Files/Statistics/Revenue-and-refunds/Donation-tax-credit-2004-to-2018/num-donations-04-18.xlsx,XLS,,Number of donations tax credit claimed (XLSX),https://www.ird.govt.nz/-/media/Files/Statistics/Revenue-and-refunds/Donation-tax-credit-2004-to-2018/num-donations-04-18-csv.csv,CSV,,Number of donations tax credit claimed (CSV),https://www.ird.govt.nz/-/media/Files/Statistics/Revenue-and-refunds/Donation-tax-credit-2004-to-2018/ave-donation-claimed-per-claimant-04-18.xlsx,XLSX,,Average donations tax credit claimed per claimant (XLSX),https://www.ird.govt.nz/-/media/Files/Statistics/Revenue-and-refunds/Donation-tax-credit-2004-to-2018/ave-donation-claimed-per-claimant-04-18-csv.csv,CSV,,Average donations tax credit claimed per claimant (CSV),https://www.ird.govt.nz/-/media/Files/Statistics/Revenue-and-refunds/Donation-tax-credit-2004-to-2018/claimed-through-payroll-giving-11-19.xlsx,XLSX,,Tax credits claimed through payroll giving via employers (XLSX),,,,,,,,
IDI Data Dictionary - IR tax data,Documents the content of the datasets the Inland Revenue  provides to Statistics New Zealand to use in the Integrated Data Infrastructure (IDI).,http://archive.stats.govt.nz/browse_for_stats/snapshots-of-nz/integrated-data-infrastructure/idi-data.aspx,https://creativecommons.org/licenses/by/4.0/,"data, dictionary, idi, research, tax",,,Inland Revenue,,Stats NZ IDI team,,access2microdata@stats.govt.nz,http://archive.stats.govt.nz/browse_for_stats/snapshots-of-nz/integrated-data-infrastructure/idi-data.aspx,Annual,"Customer, PAYE",04-1999/09-2015,,http://archive.stats.govt.nz/~/media/Statistics/browse-categories/snapshots-of-nz/integrated-data-infrastructure/IDI%20data%20dictionaries/idi-dd-irtax-sep-15.pdf,PDF,,IDI Data Dictionary-IR tax data,,,,,,,,,,,,,,,,,,,,,,,,
